Date,,Currency,Rate
11/1/19,,AUD,1.45
11/4/19,,AUD,1.45
11/5/19,,AUD,1.45
11/6/19,,AUD,1.45
11/7/19,,AUD,1.45
11/8/19,,AUD,1.46
11/12/19,,AUD,1.46
11/13/19,,AUD,1.46
11/14/19,,AUD,1.47
11/15/19,,AUD,1.47
11/18/19,,AUD,1.47
11/19/19,,AUD,1.47
11/20/19,,AUD,1.47
11/21/19,,AUD,1.47
11/22/19,,AUD,1.47
11/25/19,,AUD,1.48
11/26/19,,AUD,1.47
11/27/19,,AUD,1.47
11/29/19,,AUD,1.48
12/2/19,,AUD,1.47
12/3/19,,AUD,1.46
12/4/19,,AUD,1.46
12/5/19,,AUD,1.46
12/6/19,,AUD,1.46
12/9/19,,AUD,1.46
12/10/19,,AUD,1.47
12/11/19,,AUD,1.46
12/12/19,,AUD,1.45
12/13/19,,AUD,1.46
12/16/19,,AUD,1.45
12/17/19,,AUD,1.46
12/18/19,,AUD,1.46
12/19/19,,AUD,1.45
12/20/19,,AUD,1.45
12/23/19,,AUD,1.45
12/24/19,,AUD,1.44
12/26/19,,AUD,1.44
12/27/19,,AUD,1.43
12/30/19,,AUD,1.43
12/31/19,,AUD,1.42
1/1/20,,AUD,1.42
1/2/20,,AUD,1.43
1/3/20,,AUD,1.44
1/4/20,,AUD,1.44
1/5/20,,AUD,1.44
1/6/20,,AUD,1.44
1/7/20,,AUD,1.46
1/8/20,,AUD,1.45
1/9/20,,AUD,1.46
1/10/20,,AUD,1.45
1/11/20,,AUD,1.45
1/12/20,,AUD,1.45
1/13/20,,AUD,1.45
1/14/20,,AUD,1.45
1/15/20,,AUD,1.45
1/16/20,,AUD,1.45
1/17/20,,AUD,1.45
1/18/20,,AUD,1.45
1/19/20,,AUD,1.45
1/20/20,,AUD,1.45
1/21/20,,AUD,1.46
1/22/20,,AUD,1.46
1/23/20,,AUD,1.46
1/24/20,,AUD,1.47
1/25/20,,AUD,1.47
1/26/20,,AUD,1.47
1/27/20,,AUD,1.48
1/28/20,,AUD,1.48
1/29/20,,AUD,1.48
1/30/20,,AUD,1.49
1/31/20,,AUD,1.49
2/1/20,,AUD,1.49
2/2/20,,AUD,1.49
2/3/20,,AUD,1.49
2/4/20,,AUD,1.49
2/5/20,,AUD,1.48
2/6/20,,AUD,1.49
2/7/20,,AUD,1.50
2/8/20,,AUD,1.50
2/9/20,,AUD,1.50
2/10/20,,AUD,1.49
2/11/20,,AUD,1.49
2/12/20,,AUD,1.49
2/13/20,,AUD,1.49
2/14/20,,AUD,1.49
2/15/20,,AUD,1.49
2/16/20,,AUD,1.49
2/17/20,,AUD,1.49
2/18/20,,AUD,1.49
2/19/20,,AUD,1.50
2/20/20,,AUD,1.51
2/21/20,,AUD,1.51
2/22/20,,AUD,1.51
2/23/20,,AUD,1.51
2/24/20,,AUD,1.51
2/25/20,,AUD,1.51
2/26/20,,AUD,1.53
2/27/20,,AUD,1.52
2/28/20,,AUD,1.53
2/29/20,,AUD,1.53
3/1/20,,AUD,1.53
3/2/20,,AUD,1.53
3/3/20,,AUD,1.52
3/4/20,,AUD,1.51
3/5/20,,AUD,1.51
3/6/20,,AUD,1.51
3/7/20,,AUD,1.50
3/8/20,,AUD,1.51
3/9/20,,AUD,1.52
3/10/20,,AUD,1.54
3/11/20,,AUD,1.54
3/12/20,,AUD,1.59
3/13/20,,AUD,1.62
3/14/20,,AUD,1.62
3/15/20,,AUD,1.62
3/16/20,,AUD,1.64
3/17/20,,AUD,1.67
3/18/20,,AUD,1.72
3/19/20,,AUD,1.74
3/20/20,,AUD,1.73
3/21/20,,AUD,1.73
3/22/20,,AUD,1.74
3/23/20,,AUD,1.70
3/24/20,,AUD,1.67
3/25/20,,AUD,1.69
3/26/20,,AUD,1.65
3/27/20,,AUD,1.62
3/28/20,,AUD,1.62
3/29/20,,AUD,1.62
3/30/20,,AUD,1.62
3/31/20,,AUD,1.63
4/1/20,,AUD,1.64
4/2/20,,AUD,1.65
4/3/20,,AUD,1.67
4/4/20,,AUD,1.67
4/5/20,,AUD,1.67
4/6/20,,AUD,1.63
4/7/20,,AUD,1.63
4/8/20,,AUD,1.60
4/9/20,,AUD,1.58
4/10/20,,AUD,1.57
4/11/20,,AUD,1.57
4/12/20,,AUD,1.58
4/13/20,,AUD,1.56
4/14/20,,AUD,1.55
4/15/20,,AUD,1.59
4/16/20,,AUD,1.57
4/17/20,,AUD,1.57
4/18/20,,AUD,1.57
4/19/20,,AUD,1.58
4/20/20,,AUD,1.58
4/21/20,,AUD,1.59
4/22/20,,AUD,1.59
4/23/20,,AUD,1.57
4/24/20,,AUD,1.56
4/25/20,,AUD,1.57
4/26/20,,AUD,1.57
11/1/19,,NZD,1.55
11/4/19,,NZD,1.56
11/5/19,,NZD,1.57
11/6/19,,NZD,1.57
11/7/19,,NZD,1.57
11/8/19,,NZD,1.58
11/12/19,,NZD,1.58
11/13/19,,NZD,1.56
11/14/19,,NZD,1.57
11/15/19,,NZD,1.56
11/18/19,,NZD,1.56
11/19/19,,NZD,1.56
11/20/19,,NZD,1.56
11/21/19,,NZD,1.56
11/22/19,,NZD,1.56
11/25/19,,NZD,1.56
11/26/19,,NZD,1.56
11/27/19,,NZD,1.56
11/29/19,,NZD,1.56
12/2/19,,NZD,1.54
12/3/19,,NZD,1.53
12/4/19,,NZD,1.53
12/5/19,,NZD,1.53
12/6/19,,NZD,1.52
12/9/19,,NZD,1.53
12/10/19,,NZD,1.53
12/11/19,,NZD,1.52
12/12/19,,NZD,1.52
12/13/19,,NZD,1.52
12/16/19,,NZD,1.52
12/17/19,,NZD,1.52
12/18/19,,NZD,1.52
12/19/19,,NZD,1.51
12/20/19,,NZD,1.51
12/23/19,,NZD,1.51
12/24/19,,NZD,1.51
12/26/19,,NZD,1.50
12/27/19,,NZD,1.49
12/30/19,,NZD,1.48
12/31/19,,NZD,1.48
1/1/20,,NZD,1.48
1/2/20,,NZD,1.49
1/3/20,,NZD,1.50
1/4/20,,NZD,1.50
1/5/20,,NZD,1.50
1/6/20,,NZD,1.50
1/7/20,,NZD,1.51
1/8/20,,NZD,1.50
1/9/20,,NZD,1.51
1/10/20,,NZD,1.51
1/11/20,,NZD,1.51
1/12/20,,NZD,1.51
1/13/20,,NZD,1.51
1/14/20,,NZD,1.51
1/15/20,,NZD,1.51
1/16/20,,NZD,1.51
1/17/20,,NZD,1.51
1/18/20,,NZD,1.51
1/19/20,,NZD,1.51
1/20/20,,NZD,1.51
1/21/20,,NZD,1.52
1/22/20,,NZD,1.52
1/23/20,,NZD,1.51
1/24/20,,NZD,1.51
1/25/20,,NZD,1.51
1/26/20,,NZD,1.52
1/27/20,,NZD,1.53
1/28/20,,NZD,1.53
1/29/20,,NZD,1.53
1/30/20,,NZD,1.54
1/31/20,,NZD,1.55
2/1/20,,NZD,1.55
2/2/20,,NZD,1.55
2/3/20,,NZD,1.55
2/4/20,,NZD,1.54
2/5/20,,NZD,1.54
2/6/20,,NZD,1.55
2/7/20,,NZD,1.56
2/8/20,,NZD,1.56
2/9/20,,NZD,1.56
2/10/20,,NZD,1.57
2/11/20,,NZD,1.56
2/12/20,,NZD,1.55
2/13/20,,NZD,1.55
2/14/20,,NZD,1.55
2/15/20,,NZD,1.55
2/16/20,,NZD,1.55
2/17/20,,NZD,1.55
2/18/20,,NZD,1.56
2/19/20,,NZD,1.57
2/20/20,,NZD,1.58
2/21/20,,NZD,1.58
2/22/20,,NZD,1.58
2/23/20,,NZD,1.58
2/24/20,,NZD,1.58
2/25/20,,NZD,1.58
2/26/20,,NZD,1.59
2/27/20,,NZD,1.58
2/28/20,,NZD,1.60
2/29/20,,NZD,1.60
3/1/20,,NZD,1.61
3/2/20,,NZD,1.60
3/3/20,,NZD,1.60
3/4/20,,NZD,1.59
3/5/20,,NZD,1.58
3/6/20,,NZD,1.57
3/7/20,,NZD,1.57
3/8/20,,NZD,1.58
3/9/20,,NZD,1.58
3/10/20,,NZD,1.60
3/11/20,,NZD,1.60
3/12/20,,NZD,1.64
3/13/20,,NZD,1.65
3/14/20,,NZD,1.65
3/15/20,,NZD,1.65
3/16/20,,NZD,1.65
3/17/20,,NZD,1.68
3/18/20,,NZD,1.75
3/19/20,,NZD,1.76
3/20/20,,NZD,1.76
3/21/20,,NZD,1.76
3/22/20,,NZD,1.78
3/23/20,,NZD,1.74
3/24/20,,NZD,1.72
3/25/20,,NZD,1.72
3/26/20,,NZD,1.67
3/27/20,,NZD,1.66
3/28/20,,NZD,1.66
3/29/20,,NZD,1.65
3/30/20,,NZD,1.66
3/31/20,,NZD,1.68
4/1/20,,NZD,1.68
4/2/20,,NZD,1.69
