"","country","date","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k"
"3526","Japan",2020-01-22,2,2,0,0,0,0,2,0,0,0
"4083","Macao",2020-01-22,1,1,0,0,0,0,1,0.2,0.2,0.2
"4167","Mainland China",2020-01-22,547,547,17,17,28,28,502,0,0,0
"5618","Republic of Korea",2020-01-22,1,1,0,0,0,0,1,0,0,0
"6783","Taiwan",2020-01-22,1,1,0,0,0,0,1,0,0,0
"6926","Thailand",2020-01-22,2,2,0,0,0,0,2,0,0,0
"7476","USA",2020-01-22,1,1,0,0,0,0,1,0,0,0
"2897","Hong Kong",2020-01-23,2,2,0,0,0,0,2,0,0,0
"3490","Japan",2020-01-23,2,0,0,0,0,0,2,0,0,0
"4107","Macao",2020-01-23,2,1,0,0,0,0,2,0.3,0.2,0.3
"4174","Mainland China",2020-01-23,639,92,18,1,30,2,591,0,0,0
"5674","Republic of Korea",2020-01-23,1,0,0,0,0,0,1,0,0,0
"6250","Singapore",2020-01-23,1,1,0,0,0,0,1,0,0,0
"6791","Taiwan",2020-01-23,1,0,0,0,0,0,1,0,0,0
"6898","Thailand",2020-01-23,3,1,0,0,0,0,3,0,0,0
"7513","USA",2020-01-23,1,0,0,0,0,0,1,0,0,0
"7617","Vietnam",2020-01-23,2,2,0,0,0,0,2,0,0,0
"2366","France",2020-01-24,2,2,0,0,0,0,2,0,0,0
"2910","Hong Kong",2020-01-24,2,0,0,0,0,0,2,0,0,0
"3477","Japan",2020-01-24,2,0,0,0,0,0,2,0,0,0
"4074","Macao",2020-01-24,2,0,0,0,0,0,2,0.3,0,0.3
"4184","Mainland China",2020-01-24,916,277,26,8,36,6,854,0.1,0,0.1
"5669","Republic of Korea",2020-01-24,2,1,0,0,0,0,2,0,0,0
"6190","Singapore",2020-01-24,3,2,0,0,0,0,3,0.1,0,0.1
"6793","Taiwan",2020-01-24,3,2,0,0,0,0,3,0,0,0
"6907","Thailand",2020-01-24,5,2,0,0,0,0,5,0,0,0
"7495","USA",2020-01-24,2,1,0,0,0,0,2,0,0,0
"7603","Vietnam",2020-01-24,2,0,0,0,0,0,2,0,0,0
"2371","France",2020-01-25,3,1,0,0,0,0,3,0,0,0
"2916","Hong Kong",2020-01-25,5,3,0,0,0,0,5,0.1,0,0.1
"3489","Japan",2020-01-25,2,0,0,0,0,0,2,0,0,0
"4063","Macao",2020-01-25,2,0,0,0,0,0,2,0.3,0,0.3
"4195","Mainland China",2020-01-25,1399,483,42,16,39,3,1318,0.1,0,0.1
"4322","Malaysia",2020-01-25,3,3,0,0,0,0,3,0,0,0
"4879","Nepal",2020-01-25,1,1,0,0,0,0,1,0,0,0
"5668","Republic of Korea",2020-01-25,2,0,0,0,0,0,2,0,0,0
"6181","Singapore",2020-01-25,3,0,0,0,0,0,3,0.1,0,0.1
"6813","Taiwan",2020-01-25,3,0,0,0,0,0,3,0,0,0
"6928","Thailand",2020-01-25,7,2,0,0,0,0,7,0,0,0
"7511","USA",2020-01-25,2,0,0,0,0,0,2,0,0,0
"7664","Vietnam",2020-01-25,2,0,0,0,0,0,2,0,0,0
"329","Australia",2020-01-26,4,4,0,0,0,0,4,0,0,0
"1250","Canada",2020-01-26,1,1,0,0,0,0,1,0,0,0
