dateRep,cases,deaths,country,popData2018,latitude,longitude
19-04-2020,63,0,Afghanistan,37172386.0,33.93911,67.709953
18-04-2020,51,1,Afghanistan,37172386.0,33.93911,67.709953
17-04-2020,10,4,Afghanistan,37172386.0,33.93911,67.709953
16-04-2020,70,2,Afghanistan,37172386.0,33.93911,67.709953
15-04-2020,49,2,Afghanistan,37172386.0,33.93911,67.709953
14-04-2020,58,3,Afghanistan,37172386.0,33.93911,67.709953
13-04-2020,52,0,Afghanistan,37172386.0,33.93911,67.709953
12-04-2020,34,3,Afghanistan,37172386.0,33.93911,67.709953
11-04-2020,37,0,Afghanistan,37172386.0,33.93911,67.709953
10-04-2020,61,1,Afghanistan,37172386.0,33.93911,67.709953
09-04-2020,56,3,Afghanistan,37172386.0,33.93911,67.709953
08-04-2020,30,4,Afghanistan,37172386.0,33.93911,67.709953
07-04-2020,38,0,Afghanistan,37172386.0,33.93911,67.709953
06-04-2020,29,2,Afghanistan,37172386.0,33.93911,67.709953
05-04-2020,35,1,Afghanistan,37172386.0,33.93911,67.709953
04-04-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
03-04-2020,43,0,Afghanistan,37172386.0,33.93911,67.709953
02-04-2020,26,0,Afghanistan,37172386.0,33.93911,67.709953
01-04-2020,25,0,Afghanistan,37172386.0,33.93911,67.709953
31-03-2020,27,0,Afghanistan,37172386.0,33.93911,67.709953
30-03-2020,8,1,Afghanistan,37172386.0,33.93911,67.709953
29-03-2020,15,1,Afghanistan,37172386.0,33.93911,67.709953
28-03-2020,16,1,Afghanistan,37172386.0,33.93911,67.709953
27-03-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
26-03-2020,33,0,Afghanistan,37172386.0,33.93911,67.709953
25-03-2020,2,0,Afghanistan,37172386.0,33.93911,67.709953
24-03-2020,6,1,Afghanistan,37172386.0,33.93911,67.709953
23-03-2020,10,0,Afghanistan,37172386.0,33.93911,67.709953
22-03-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
21-03-2020,2,0,Afghanistan,37172386.0,33.93911,67.709953
20-03-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
19-03-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
18-03-2020,1,0,Afghanistan,37172386.0,33.93911,67.709953
17-03-2020,5,0,Afghanistan,37172386.0,33.93911,67.709953
16-03-2020,6,0,Afghanistan,37172386.0,33.93911,67.709953
15-03-2020,3,0,Afghanistan,37172386.0,33.93911,67.709953
11-03-2020,3,0,Afghanistan,37172386.0,33.93911,67.709953
08-03-2020,3,0,Afghanistan,37172386.0,33.93911,67.709953
02-03-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
01-03-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
29-02-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
28-02-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
27-02-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
26-02-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
25-02-2020,1,0,Afghanistan,37172386.0,33.93911,67.709953
24-02-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
23-02-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
22-02-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
21-02-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
20-02-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
19-02-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
18-02-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
17-02-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
16-02-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
15-02-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
14-02-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
13-02-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
12-02-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
11-02-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
10-02-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
09-02-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
08-02-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
07-02-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
06-02-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
05-02-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
04-02-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
03-02-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
02-02-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
01-02-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
31-01-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
30-01-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
29-01-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
28-01-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
27-01-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
26-01-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
25-01-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
24-01-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
23-01-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
22-01-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
21-01-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
20-01-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
19-01-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
18-01-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
17-01-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
16-01-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
15-01-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
14-01-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
13-01-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
12-01-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
11-01-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
10-01-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
09-01-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
08-01-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
07-01-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
06-01-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
05-01-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
04-01-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
03-01-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
02-01-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
01-01-2020,0,0,Afghanistan,37172386.0,33.93911,67.709953
31-12-2019,0,0,Afghanistan,37172386.0,33.93911,67.709953
19-04-2020,9,0,Albania,2866376.0,41.153332,20.168331
18-04-2020,21,0,Albania,2866376.0,41.153332,20.168331
17-04-2020,24,1,Albania,2866376.0,41.153332,20.168331
16-04-2020,19,1,Albania,2866376.0,41.153332,20.168331
15-04-2020,8,1,Albania,2866376.0,41.153332,20.168331
14-04-2020,21,0,Albania,2866376.0,41.153332,20.168331
13-04-2020,13,0,Albania,2866376.0,41.153332,20.168331
12-04-2020,17,0,Albania,2866376.0,41.153332,20.168331
11-04-2020,7,0,Albania,2866376.0,41.153332,20.168331
10-04-2020,9,1,Albania,2866376.0,41.153332,20.168331
09-04-2020,17,0,Albania,2866376.0,41.153332,20.168331
08-04-2020,6,0,Albania,2866376.0,41.153332,20.168331
07-04-2020,16,1,Albania,2866376.0,41.153332,20.168331
06-04-2020,28,2,Albania,2866376.0,41.153332,20.168331
05-04-2020,29,2,Albania,2866376.0,41.153332,20.168331
04-04-2020,27,1,Albania,2866376.0,41.153332,20.168331
03-04-2020,18,1,Albania,2866376.0,41.153332,20.168331
02-04-2020,16,0,Albania,2866376.0,41.153332,20.168331
01-04-2020,20,3,Albania,2866376.0,41.153332,20.168331
31-03-2020,11,2,Albania,2866376.0,41.153332,20.168331
30-03-2020,15,0,Albania,2866376.0,41.153332,20.168331
29-03-2020,11,1,Albania,2866376.0,41.153332,20.168331
28-03-2020,12,3,Albania,2866376.0,41.153332,20.168331
27-03-2020,28,1,Albania,2866376.0,41.153332,20.168331
26-03-2020,23,0,Albania,2866376.0,41.153332,20.168331
25-03-2020,23,1,Albania,2866376.0,41.153332,20.168331
24-03-2020,11,2,Albania,2866376.0,41.153332,20.168331
23-03-2020,13,0,Albania,2866376.0,41.153332,20.168331
22-03-2020,6,0,Albania,2866376.0,41.153332,20.168331
21-03-2020,0,0,Albania,2866376.0,41.153332,20.168331
20-03-2020,11,0,Albania,2866376.0,41.153332,20.168331
19-03-2020,4,1,Albania,2866376.0,41.153332,20.168331
18-03-2020,4,0,Albania,2866376.0,41.153332,20.168331
17-03-2020,9,0,Albania,2866376.0,41.153332,20.168331
16-03-2020,4,0,Albania,2866376.0,41.153332,20.168331
15-03-2020,5,0,Albania,2866376.0,41.153332,20.168331
14-03-2020,10,0,Albania,2866376.0,41.153332,20.168331
13-03-2020,12,0,Albania,2866376.0,41.153332,20.168331
12-03-2020,1,1,Albania,2866376.0,41.153332,20.168331
11-03-2020,4,0,Albania,2866376.0,41.153332,20.168331
10-03-2020,4,0,Albania,2866376.0,41.153332,20.168331
09-03-2020,2,0,Albania,2866376.0,41.153332,20.168331
19-04-2020,117,3,Algeria,42228429.0,28.033886,1.6596259999999998
18-04-2020,150,16,Algeria,42228429.0,28.033886,1.6596259999999998
17-04-2020,108,12,Algeria,42228429.0,28.033886,1.6596259999999998
16-04-2020,90,11,Algeria,42228429.0,28.033886,1.6596259999999998
15-04-2020,87,12,Algeria,42228429.0,28.033886,1.6596259999999998
14-04-2020,69,20,Algeria,42228429.0,28.033886,1.6596259999999998
13-04-2020,89,18,Algeria,42228429.0,28.033886,1.6596259999999998
12-04-2020,64,19,Algeria,42228429.0,28.033886,1.6596259999999998
11-04-2020,95,21,Algeria,42228429.0,28.033886,1.6596259999999998
10-04-2020,94,30,Algeria,42228429.0,28.033886,1.6596259999999998
09-04-2020,104,12,Algeria,42228429.0,28.033886,1.6596259999999998
08-04-2020,45,20,Algeria,42228429.0,28.033886,1.6596259999999998
07-04-2020,103,21,Algeria,42228429.0,28.033886,1.6596259999999998
06-04-2020,69,22,Algeria,42228429.0,28.033886,1.6596259999999998
05-04-2020,80,25,Algeria,42228429.0,28.033886,1.6596259999999998
04-04-2020,185,42,Algeria,42228429.0,28.033886,1.6596259999999998
03-04-2020,139,5,Algeria,42228429.0,28.033886,1.6596259999999998
02-04-2020,131,14,Algeria,42228429.0,28.033886,1.6596259999999998
01-04-2020,132,9,Algeria,42228429.0,28.033886,1.6596259999999998
31-03-2020,73,4,Algeria,42228429.0,28.033886,1.6596259999999998
30-03-2020,57,2,Algeria,42228429.0,28.033886,1.6596259999999998
29-03-2020,45,3,Algeria,42228429.0,28.033886,1.6596259999999998
28-03-2020,42,1,Algeria,42228429.0,28.033886,1.6596259999999998
27-03-2020,65,4,Algeria,42228429.0,28.033886,1.6596259999999998
26-03-2020,38,2,Algeria,42228429.0,28.033886,1.6596259999999998
