Date,Country,Latitude,Longitude,Currency,Rate
11/1/19,Australia,-25.274398,133.775136,AUD,1.45
11/4/19,Australia,-25.274398,133.775136,AUD,1.45
11/5/19,Australia,-25.274398,133.775136,AUD,1.45
11/6/19,Australia,-25.274398,133.775136,AUD,1.45
11/7/19,Australia,-25.274398,133.775136,AUD,1.45
11/8/19,Australia,-25.274398,133.775136,AUD,1.46
11/12/19,Australia,-25.274398,133.775136,AUD,1.46
11/13/19,Australia,-25.274398,133.775136,AUD,1.46
11/14/19,Australia,-25.274398,133.775136,AUD,1.47
11/15/19,Australia,-25.274398,133.775136,AUD,1.47
11/18/19,Australia,-25.274398,133.775136,AUD,1.47
11/19/19,Australia,-25.274398,133.775136,AUD,1.47
11/20/19,Australia,-25.274398,133.775136,AUD,1.47
11/21/19,Australia,-25.274398,133.775136,AUD,1.47
11/22/19,Australia,-25.274398,133.775136,AUD,1.47
11/25/19,Australia,-25.274398,133.775136,AUD,1.48
11/26/19,Australia,-25.274398,133.775136,AUD,1.47
11/27/19,Australia,-25.274398,133.775136,AUD,1.47
11/29/19,Australia,-25.274398,133.775136,AUD,1.48
12/2/19,Australia,-25.274398,133.775136,AUD,1.47
12/3/19,Australia,-25.274398,133.775136,AUD,1.46
12/4/19,Australia,-25.274398,133.775136,AUD,1.46
12/5/19,Australia,-25.274398,133.775136,AUD,1.46
12/6/19,Australia,-25.274398,133.775136,AUD,1.46
12/9/19,Australia,-25.274398,133.775136,AUD,1.46
12/10/19,Australia,-25.274398,133.775136,AUD,1.47
12/11/19,Australia,-25.274398,133.775136,AUD,1.46
12/12/19,Australia,-25.274398,133.775136,AUD,1.45
12/13/19,Australia,-25.274398,133.775136,AUD,1.46
12/16/19,Australia,-25.274398,133.775136,AUD,1.45
12/17/19,Australia,-25.274398,133.775136,AUD,1.46
12/18/19,Australia,-25.274398,133.775136,AUD,1.46
12/19/19,Australia,-25.274398,133.775136,AUD,1.45
12/20/19,Australia,-25.274398,133.775136,AUD,1.45
12/23/19,Australia,-25.274398,133.775136,AUD,1.45
12/24/19,Australia,-25.274398,133.775136,AUD,1.44
12/26/19,Australia,-25.274398,133.775136,AUD,1.44
12/27/19,Australia,-25.274398,133.775136,AUD,1.43
12/30/19,Australia,-25.274398,133.775136,AUD,1.43
12/31/19,Australia,-25.274398,133.775136,AUD,1.42
1/1/20,Australia,-25.274398,133.775136,AUD,1.42
1/2/20,Australia,-25.274398,133.775136,AUD,1.43
1/3/20,Australia,-25.274398,133.775136,AUD,1.44
1/4/20,Australia,-25.274398,133.775136,AUD,1.44
1/5/20,Australia,-25.274398,133.775136,AUD,1.44
1/6/20,Australia,-25.274398,133.775136,AUD,1.44
1/7/20,Australia,-25.274398,133.775136,AUD,1.46
1/8/20,Australia,-25.274398,133.775136,AUD,1.45
1/9/20,Australia,-25.274398,133.775136,AUD,1.46
1/10/20,Australia,-25.274398,133.775136,AUD,1.45
1/11/20,Australia,-25.274398,133.775136,AUD,1.45
1/12/20,Australia,-25.274398,133.775136,AUD,1.45
1/13/20,Australia,-25.274398,133.775136,AUD,1.45
1/14/20,Australia,-25.274398,133.775136,AUD,1.45
1/15/20,Australia,-25.274398,133.775136,AUD,1.45
1/16/20,Australia,-25.274398,133.775136,AUD,1.45
1/17/20,Australia,-25.274398,133.775136,AUD,1.45
1/18/20,Australia,-25.274398,133.775136,AUD,1.45
1/19/20,Australia,-25.274398,133.775136,AUD,1.45
1/20/20,Australia,-25.274398,133.775136,AUD,1.45
1/21/20,Australia,-25.274398,133.775136,AUD,1.46
1/22/20,Australia,-25.274398,133.775136,AUD,1.46
1/23/20,Australia,-25.274398,133.775136,AUD,1.46
